mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.0069259643554687,0.05153565757297101,0.05008153915405274,0.013833891606543513,0.3,0.01,3,100,"{'colsample_bytree': 0.3, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}",0.7804281969031455,0.7840651414297388,0.7841091170706507,0.7840358665186666,0.7859767846861786,0.783723021321676,0.0018055085413875218,44
3.712130403518677,0.0629886018477033,0.1578538417816162,0.009528328103543059,0.3,0.01,3,500,"{'colsample_bytree': 0.3, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 500}",0.7855777658103614,0.7899981900737016,0.7897387162161269,0.789714144694946,0.7907376135840537,0.789153286075838,0.0018256830189008753,31
7.694214153289795,0.3940763192979455,0.35953550338745116,0.05145534306664577,0.3,0.01,3,1000,"{'colsample_bytree': 0.3, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 1000}",0.7874237282291049,0.7918963348120678,0.7916648352271052,0.7919695291202264,0.792676303089988,0.7911261460956984,0.0018817840647107472,17
1.6073915004730224,0.06872226617447881,0.08659243583679199,0.00575711923029401,0.3,0.01,6,100,"{'colsample_bytree': 0.3, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 100}",0.783381849278225,0.7869822344597537,0.7871395835915276,0.7869108118320922,0.7885235402484609,0.7865876038820119,0.001708191468556263,40
7.358740758895874,0.4611230860735048,0.7816610336303711,0.16477456378683028,0.3,0.01,6,500,"{'colsample_bytree': 0.3, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 500}",0.7879292206291469,0.7916611301651131,0.7918934171636302,0.7921666074841015,0.7930159384595812,0.7913332627803146,0.0017626476539009883,13
14.023860216140747,0.532149431730026,2.0050629138946534,0.1336993969497287,0.3,0.01,6,1000,"{'colsample_bytree': 0.3, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 1000}",0.788406586756739,0.7925143560254951,0.7925168729366777,0.7931677616355186,0.7936843049271362,0.7920579764563134,0.0018776625079074951,2
5.59450855255127,0.434191558487082,0.9312408924102783,0.03784055578007338,0.3,0.01,10,100,"{'colsample_bytree': 0.3, 'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 100}",0.7836660019772208,0.7869197405393596,0.788122106975812,0.7876239132322008,0.7885782162771374,0.7869819958003462,0.0017469700652727087,38
24.975959825515748,0.40584744884253804,3.585191249847412,0.25203743313954063,0.3,0.01,10,500,"{'colsample_bytree': 0.3, 'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 500}",0.7863619333178395,0.7907156011569242,0.7906746345606664,0.7914826052331112,0.7916958466662837,0.790186124186965,0.001954663608808946,25
35.418367576599124,0.36201206005185793,4.651855754852295,0.5528365846399539,0.3,0.01,10,1000,"{'colsample_bytree': 0.3, 'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 1000}",0.7853286584468385,0.7906694179458692,0.7899236107613449,0.790814105186471,0.7907198405352568,0.789491126575156,0.002105305889727332,28
1.4806315898895264,0.06829773128823556,0.054983997344970705,0.0024193492137766833,0.3,0.05,3,100,"{'colsample_bytree': 0.3, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100}",0.7858328218805074,0.790353932268767,0.7898684355687189,0.7900238653799542,0.7910913661537989,0.7894340842503493,0.0018492321211538245,29
4.913103771209717,0.6341506519392716,0.18406543731689454,0.02273802723489164,0.3,0.05,3,500,"{'colsample_bytree': 0.3, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 500}",0.7884364287318086,0.7927815563785715,0.7927799815514629,0.7927536805326537,0.7935745732239627,0.7920652440836919,0.0018408841901447748,1
7.4293506145477295,0.35681696604094293,0.4123365879058838,0.026687297562114288,0.3,0.05,3,1000,"{'colsample_bytree': 0.3, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 1000}",0.7884788642453678,0.7927479577234289,0.792683319507195,0.7925390751867175,0.7936738506061074,0.7920246134537632,0.0018173668922630288,3
1.8872422695159912,0.07028379601366057,0.09373688697814941,0.0023028984858319414,0.3,0.05,6,100,"{'colsample_bytree': 0.3, 'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 100}",0.787975769610052,0.7912356034437982,0.7919803490261199,0.7920415915214009,0.7928820359724821,0.7912230699147706,0.0017053289425809166,15
5.969466590881348,0.2038351213898913,0.46979451179504395,0.1067909190661703,0.3,0.05,6,500,"{'colsample_bytree': 0.3, 'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 500}",0.788079857912822,0.791407674396846,0.7918823863433917,0.7920197759476599,0.7924650020687884,0.7911709393339017,0.0015819043364099388,16
9.388105487823486,0.38936019224380347,1.6139967441558838,0.1340655085958184,0.3,0.05,6,1000,"{'colsample_bytree': 0.3, 'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 1000}",0.7856512175708648,0.7884010552578992,0.789411320909016,0.7895554316504083,0.7900839900292072,0.7886206030834791,0.0015815240783710392,33
3.1425915241241453,0.3756945292032965,0.2789142608642578,0.08382254321176748,0.3,0.05,10,100,"{'colsample_bytree': 0.3, 'learning_rate': 0.05, 'max_depth': 10, 'n_estimators': 100}",0.7854956300632387,0.78873361796646,0.7895927002151524,0.7902452199849272,0.7906071560312546,0.7889348648522067,0.0018338577899488658,32
