Estimator,Mean Score,Median Score,Std,Min Score,Fit Time
default/LinearRegression,-1.027866505894846,-1.0203241389790825,0.020936316933743877,-1.0636439024189452,0.011044073104858398
default/RandomForestRegressor,-0.6559999999999998,-0.658749999999999,0.03569453739719909,-0.721000000000001,16.574789190292357
default/ExtraTreesRegressor,-0.6544500000000004,-0.6489999999999982,0.01905052492715111,-0.6840000000000002,6.33738534450531
default/HistGradientBoostingRegressor,-0.6434714819534179,-0.6410244870380151,0.03190189677732553,-0.681825347068278,1.464557671546936
default/LGBMRegressor,-0.635396600298993,-0.6273465101849556,0.03226098182137123,-0.6830032344874315,0.7139633178710938
