Estimator,Mean Score,Median Score,Std,Min Score,Fit Time
default/DummyClassifier_Uniform,-1.0986122886681096,-1.0986122886681096,0.0,-1.0986122886681096,0.0014762401580810547
default/DummyClassifier_MostFrequent,-13.387238382482852,-13.394286678794503,0.015400042570652799,-13.411591958741266,0.001452016830444336
default/LogisticRegression,-0.522609793644708,-0.5229718842766597,0.019526622422614284,-0.5495756139549913,0.1257333755493164
default/LinearDiscriminantAnalysis,-0.5169430819964754,-0.5234863321152963,0.029402681195064027,-0.558899652559518,0.011648964881896973
default/RandomForestClassifier,-0.5054842296203518,-0.5000509058621925,0.05643169643428746,-0.6065295120813797,1.2968123435974122
default/ExtraTreesClassifier,-0.5626779763429315,-0.5658760953781434,0.08028446426407705,-0.7159243413832691,0.6473781585693359
default/HistGradientBoostingClassifier,-0.48198606371259406,-0.4759807535885364,0.023907555530980104,-0.5125468948198264,1.3103872537612915
default/XGBClassifier,-0.5062352715642113,-0.5092192361621619,0.02822518817269309,-0.5479016954850433,0.7240914583206177
